Total Size (X, Y): 90 x 90
Considering Position <17, 54> at step 420
Considering Position <29, 47> at step 421
Considering Position <28, 48> at step 421
Considering Position <4, 23> at step 423
Considering Position <5, 22> at step 423
Considering Position <15, 56> at step 424
Considering Position <24, 42> at step 425
Considering Position <17, 55> at step 426
Considering Position <30, 47> at step 427
Considering Position <29, 48> at step 427
Considering Position <29, 46> at step 427
Considering Position <16, 56> at step 428
Considering Position <15, 57> at step 428
Considering Position <14, 56> at step 428
Considering Position <28, 48> at step 429
Considering Position <27, 49> at step 429
Considering Position <12, 17> at step 430
Considering Position <27, 29> at step 431
Considering Position <17, 56> at step 432
Considering Position <28, 49> at step 433
Considering Position <27, 50> at step 433
Considering Position <26, 49> at step 433
Considering Position <17, 56> at step 434
Considering Position <28, 29> at step 435
Considering Position <27, 30> at step 435
Considering Position <27, 28> at step 435
Considering Position <25, 26> at step 436
Considering Position <24, 41> at step 437
Considering Position <28, 30> at step 438
Considering Position <27, 31> at step 438
Considering Position <29, 48> at step 440
Considering Position <28, 49> at step 440
Considering Position <22, 52> at step 441
Considering Position <21, 51> at step 441
Considering Position <22, 53> at step 443
Considering Position <26, 49> at step 444
Considering Position <25, 50> at step 444
Considering Position <23, 53> at step 445
Considering Position <22, 54> at step 445
Considering Position <7, 36> at step 451
Considering Position <8, 20> at step 452
Considering Position <7, 19> at step 452
Considering Position <29, 38> at step 453
Considering Position <27, 32> at step 454
Considering Position <26, 31> at step 454
Considering Position <24, 53> at step 456
Considering Position <23, 54> at step 456
Considering Position <23, 54> at step 457
Considering Position <22, 55> at step 457
Considering Position <21, 54> at step 457
Considering Position <30, 48> at step 458
Considering Position <8, 19> at step 459
Considering Position <28, 32> at step 460
Considering Position <22, 56> at step 462
Considering Position <30, 49> at step 463
Considering Position <30, 47> at step 463
Considering Position <22, 21> at step 464
Considering Position <25, 53> at step 466
Considering Position <24, 52> at step 466
Considering Position <29, 32> at step 467
Considering Position <28, 33> at step 467
Considering Position <31, 49> at step 468
Considering Position <30, 50> at step 468
Considering Position <10, 20> at step 469
Considering Position <10, 18> at step 469
Considering Position <25, 54> at step 470
